50,largest1BorderedSquare,[43;]
28,445884362[2],[44;]
28,1642534850[1],[44;]
28,grid,[50;44;]
28,b,[27;]
30,ans,[30;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
27,m,[4;]
27,b,[27;]
28,a,[26;]
28,445884362[2],[44;]
28,1642534850[2],[44;]
28,grid,[50;44;]
28,b,[27;]
30,ans,[30;]
31,a,[26;]
31,c,[31;]
31,n,[3;]
27,m,[4;]
27,b,[27;]
26,a,[26;]
26,n,[3;]
40,ans,[30;]
50,largest1BorderedSquare,[43;]
50,grid,[50;44;]
50,return_of_Largest1BorderedSquare#largest1BorderedSquare([[I)I,[40;]
52,result,[50;]
